PlaceID,ItemName,Suburb,Postcode
1,Algeboia,Mathoura,2710
2,Angledool Reserve and Cemetery,Angledool,2834
3,Baiame Cave,Milbrodale,2330
4,Barlings Beach,Tomakin,2537
5,Barunguba Aboriginal Place,Narooma,2546
6,Baryulgil Cemetery Aboriginal Place,Baryulgil,2460
7,Beemunnel Reserve,Warren,2824
8,Bellambi Point,Bellambi,2518
9,Bermagui Waterhole,Bermagui,2546
10,Biamanga,Tanja,2550
11,Big Ampi Stockyards (Menindee),Menindee,2879
12,Birubi Point,Anna Bay,2316
13,Blackfellows Hand,Lidsdale,2790
14,Bomen Axe Quarry,Bomen,2650
15,Bomen Lagoon,North Wagga Wagga,2650
16,Boobera Lagoon,Boggabilla,2409
17,Bridge Reserve,Narromine,2821
18,Browns Hill Fringe Camp Aboriginal Place,Taree,2430
19,Brungle Cemetery,Brungle,2722
20,Bulahdelah Mountain,Bulahdelah,2423
21,Bulgandry Art Site,Kariong,2250
22,Burrel Bulai,Bellbrook,2440
23,Butterfly Cave,West Wallsend,2286
24,Byrock Rock Holes,Byrock,2831
25,Camp Wonawong,Loftus,2232
26,Capeen Mountain,Toonumbar,2474
27,Carrai Waterholes,Carrai,2440
28,Casino Bora Ground,Casino,2470
29,Chinaman's Creek,Tenterfield,2372
30,Cocked Hat Rocks,Byron Bay,2481
31,Collingwood Precinct,Liverpool,2170
32,Coolamatong (Lambie Gorge),Berridale,2628
33,Cromer Heights Rock Engravings and Shelter Site Aboriginal Place,Cromer,2099
34,Cubawee,Lismore,2480
35,Curiosity Rocks,Jindabyne,2627
36,Dandaloo Reserve (Innalla),Dandaloo,2823
37,Dandry Gorge,Baradine,2396
38,Dark Point,Pacific Palms,2428
39,Delegate Aboriginal Reserve,Delegate,2633
40,Dennawan Aboriginal Place,Weilmoringle,2839
41,Derrawa Dhaura Aboriginal Place,Springrange,2618
42,Devil's Chimney,Guyra,2365
43,Dharawal Resting Place - Coast Hospital Cemetery,Little Bay,2036
44,Dharawal Resting Place - Costens Point,Royal National Park,2232
45,Dharawal Resting Place - Middle Rill,Royal National Park,2232
46,Dharawal Resting Place - North Era Beach,Royal National Park,2232
47,Dippo Ceremonial Ground,Balranald,2715
48,Doodle Comer,Henty,2658
49,East Ballina (Angels Beach),Ballina,2478
50,Emu Cave Aboriginal Place,Mount Tomah,2758
51,Euabalong Aboriginal Fringe Camp,Euabalong,2877
52,"Euroka Clearing ""Nye Gnoring""",Glenbrook,2773
53,Farquhar Park,Old Bar,2430
54,Flowerdale Lagoon,Wagga Wagga,2650
55,Fox Ground,Barren Grounds,2577
56,Gondwana Rainforests of Australia,Nambucca Heads,2448
57,Gooreenggai (North Arm Cove),North Arm Cove,2324
58,Guragalung Gayanayung (Maroota Historic Site),Maroota,2756
59,Guringai Resting Place - Bujiwa Bay,Cowan,2081
60,Guringai Resting Place - Quarantine Station,Manly,2095
61,Guringai Resting Place - Reef Beach,Balgowlah,2093
62,Guringai Resting Place - Towlers Bay,Morning Bay,2105
63,Hannibal Hamilton Grave,Tumut,2720
64,Happy Valley Fringe Camp,Warrumbungle,2828
65,Hyde Park Barracks,Sydney,2000
66,Inglebah,Tamworth,2340
67,Jacks Lookout and Surveyors Lake Rocks,Ivanhoe,2878
68,Kariong Sacred Land,Kariong,2250
69,Kinchela Aboriginal Boys Home,Kinchela,2440
70,King Tom's Memorial Headstone,Bolwarra,2320
71,Kings Grave,West Wyalong,2671
72,Kings Tableland,Wentworth Falls,2782
73,Koomaringa,Carrathool,2711
74,Koonadan,Leeton,2705
75,Koorawatha Falls Aboriginal Place,Koorawatha,2807
76,Lake Macquarie Resting Place,Morisset Park,2264
77,Long Gully,Kempsey,2440
78,Mack Reserve,Narromine,2821
79,Merriman Island,Wallaga Lake,2546
80,Miimiga Gaungan - St Marys Waterhole,Coffs Harbour,2450
81,Millpost Stone Axe Quarry Aboriginal Place,Wamboin,2620
82,Moon Rock,Belrose,2085
83,Moordale Wells,Walgett,2832
84,Mount Dispersion Massacre Site Aboriginal Place,Euston,2737
85,Mount Drysdale,Tindarey,2835
86,Mount Yengo,Big Yengo,2330
87,Mt Mackenzie,Gloucester Tops,2422
88,Mudjarn Aboriginal Place,Brungle,2722
89,Mungabareena,Albury,2640
90,Mystery Bay Fish Trap Aboriginal Place,Mystery Bay,2546
91,Nandi Common,Coonabarabran,2357
92,Nap Nap Burial Ground,Hay,2711
93,Nimbo Creek Common Aboriginal Place,Brungle,2722
94,Northcote Bora Ring,Mungindi,2406
95,Nungungnungulla (Jubilee Rocks),Bundanoon,2578
96,Nymboida,Nymboida,2460
97,Oak Hill Aboriginal Reserve,Yass,2582
98,Old Gerara Springs Aboriginal Place,Enngonia,2840
99,Old Government House,Parramatta,2150
100,Old Menindee Mission,Menindee,2879
101,Old Pooncarie Mission (Murleeka) Aboriginal Place,Pooncarie,2648
102,Parramatta Park and Old Government House,Parramatta,2150
103,Parrots Nest,Lismore,2480
104,Pulbah Island,Swansea,2281
105,Red Hands Cave,Glenbrook,2773
106,Redbournberry Hill Aboriginal Place,Fern Gully,2330
107,Saltwater,Wallabi Point,2430
108,Sandon Point,Bulli,2516
109,Shaws Creek,Yarramundi,2753
110,Soldiers Point Aboriginal Place,Soldiers Point,2317
111,St Clair Mission - Church School Site,Mount Olive,2330
112,St Clair Mission - Corroboree Ground,Mount Olive,2330
113,Steamers Point,Wilcannia,2836
114,Sugarloaf (Gwydir),Inverell,2360
115,Sydney Opera House,Sydney,2000
116,Ten Pelicans Lake Brou,Bodalla,2545
117,Terramungamine,Terramungamine,2830
118,Terry Hie Hie Corroboree Ground and Grinding Grooves,Terry Hie Hie ,2400
119,The Murie,Condobolin,2877
120,The Pinnacles,Broken Hill,2880
121,The Rock Nature Reserve (Kengal),The Rock,2655
122,The Three Sisters,Katoomba,2780
123,Three Brothers Biripi Brothers Mountains South,Taree,2430
124,Three Brothers Mountains Middle and North,North Brother,2443
125,Ti Tree (Taylor's) Lake,Byron Bay,2481
126,Toogimbie Burial Ground,Maude,2711
127,Tooloom Falls,Urbenville,2475
128,Towra Point Keeping Place,Kurnell,2231
129,Tuggerah Lakes Resting Place,Tacoma South,2259
130,Two Sisters,Bodalla,2545
131,Ukerabagh Island,Tweed Heads South,2486
132,Upper Kedumba River Valley - The Gully,Katoomba,2780
133,Waratah Trig,Moogem,2370
134,Warre Warren Aboriginal Place,Central Mangrove,2250
135,Wellington Rock / Woolool Wooloolni,Tenterfield,2372
136,White Lady Rock,Tibooburra,2880
137,Wilcannia Mission Camps and Cultural Places,Wilcannia,2836
138,Willandra Lakes,Balranald,2715
139,Wiradjuri Reserve and Gobba Beach,Wagga Wagga,2650
140,Wollumbin (Mount Warning),Mount Warning,2484
141,Wollundry Lagoon and Tony Ireland Park,Wagga Wagga,2650
142,Yabbra Spring,Yabbra,2469
143,Yass Aboriginal Cemetery,Yass,2582